model,seed,generation,name,label,detail
qwen3.5-4b,0,1,EvoGauss,runtime_error,IndexError: invalid index to scalar variable.
qwen3.5-4b,0,2,AdaptiveParticleSwarmOptimization,interface_mismatch,__call__ failed: '>' not supported between instances of 'float' and 'list'
qwen3.5-4b,0,4,AdaptiveCovarianceMatrixSearch,import_violation,copy is currently not allowed to be imported in this framework.
qwen3.5-4b,0,6,AdaptiveMemoryLeyvOptimizer,runtime_error,AttributeError: 'AdaptiveMemoryLeyvOptimizer' object has no attribute 'memories'
qwen3.5-4b,0,12,CmaEs,runtime_error,"ValueError: shape mismatch: objects cannot be broadcast to a single shape.  Mismatch is between arg 0 with shape (20, 2) and arg 2 with shape (2, 2)."
qwen3.5-4b,0,13,NovelHybridLeyvSearch,import_violation,collections is currently not allowed to be imported in this framework.
qwen3.5-4b,0,17,CMAEvolutionStrategy,runtime_error,ValueError: setting an array element with a sequence.
qwen3.5-4b,0,20,AdaptiveHybridOptimiser,runtime_error,__init__ raised NameError: name 'func' is not defined
qwen3.5-4b,0,22,AdaptiveLeyvSimulatedAnnealing,import_violation,"typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,0,24,AdaptiveLeyvSimulatedAnnealing,import_violation,typing is currently not allowed to be imported in this framework.
qwen3.5-4b,0,25,AdaptiveLeyvSimulatedAnnealing,runtime_error,ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qwen3.5-4b,0,29,AdaptiveLeyvSimulatedAnnealing,import_violation,"typing, typing, warnings are currently not allowed to be imported in this framework."
qwen3.5-4b,0,31,AdaptiveLeyvSimulatedAnnealing,runtime_error,UnboundLocalError: cannot access local variable 'x_new' where it is not associated with a value
qwen3.5-4b,0,33,AdaptiveMultiLeyvSA,import_violation,collections is currently not allowed to be imported in this framework.
qwen3.5-4b,0,34,AdaptiveLeyvSimulatedAnnealing,import_violation,"typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,0,35,CuckooSearchOptimizer,runtime_error,IndexError: invalid index to scalar variable.
qwen3.5-4b,0,36,AdaptiveMultiScaleLeyvOptimization,runtime_error,ValueError: probabilities do not sum to 1
qwen3.5-4b,0,39,AdaptiveLeyvSimulatedAnnealing,runtime_error,OverflowError: Range exceeds valid bounds
qwen3.5-4b,0,40,AdaptiveLeyvSimulatedAnnealing,runtime_error,ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qwen3.5-4b,0,41,AdaptiveCovarianceLeyvSearch,runtime_error,LinAlgError: Matrix is not positive definite
qwen3.5-4b,0,42,AdaptiveLeyvSimulatedAnnealing,import_violation,functools is currently not allowed to be imported in this framework.
qwen3.5-4b,0,43,AdaptiveCovarianceEvolutionStrategy,runtime_error,"ValueError: matmul: Input operand 1 has a mismatch in its core dimension 0, with gufunc signature (n?,k),(k,m?)->(n?,m?) (size 5 is different from 2)"
qwen3.5-4b,0,44,AdaptiveHybridLevyGAu,import_violation,"typing, typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,0,46,AdaptiveLeyvSimulatedAnnealing,unclassified_success,ok
qwen3.5-4b,0,47,AdaptiveLeyvSimulatedAnnealing,unclassified_success,ok
qwen3.5-4b,0,49,AdaptiveLeyvSimulatedAnnealing,import_violation,typing is currently not allowed to be imported in this framework.
qwen3.5-4b,0,51,AdaptiveMultiStrategaLeySimAnnealing,runtime_error,__init__ raised AttributeError: 'AdaptiveMultiStrategaLeySimAnnealing' object has no attribute 'func'
qwen3.5-4b,0,52,AdaptiveLeyvSimulatedAnnealing,interface_mismatch,__call__ failed: '<' not supported between instances of 'list' and 'float'
qwen3.5-4b,0,53,AdaptiveLeyvSimulatedAnnealing,import_violation,"typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,0,55,AdaptivePopulationLeyvMutation,interface_mismatch,__call__ failed: object of type 'float' has no len()
qwen3.5-4b,0,56,ImprovedDifferentialEvolution,import_violation,copy is currently not allowed to be imported in this framework.
qwen3.5-4b,0,57,AdaptiveLévySimulatedAnnealing,import_violation,"typing, typing, typing are currently not allowed to be imported in this framework."
qwen3.5-4b,0,58,AdaptiveLeyvSimulatedAnnealing,runtime_error,NameError: name 'f_convergence_rate' is not defined
qwen3.5-4b,0,60,AdaptivePopCovSearch,runtime_error,"ValueError: operands could not be broadcast together with shapes (2,) (4,) (2,) "
qwen3.5-4b,0,61,DYNAMICENSEMBLESEARCH,runtime_error,__init__ raised NameError: name 'n_agents' is not defined
qwen3.5-4b,0,62,AdaptiveLeyvSimulatedAnnealingMultiPop,runtime_error,AttributeError: 'AdaptiveLeyvSimulatedAnnealingMultiPop' object has no attribute 'restart_threshold'
qwen3.5-4b,0,63,AdaptiveCovarianceEvolutionaryStrategy,runtime_error,NameError: name 'dim' is not defined
qwen3.5-4b,0,64,MDesAlgorithm,runtime_error,IndexError: index 1 is out of bounds for axis 0 with size 1
qwen3.5-4b,0,65,AdaptivePopulationLévySearch,runtime_error,AttributeError: 'AdaptivePopulationLévySearch' object has no attribute 'stagnation_threshold'
qwen3.5-4b,0,67,HarmonicMemoryEnhancedEnsemble,unclassified_success,ok
qwen3.5-4b,0,68,AdaptiveMemoryGuidedLevySearch,code_generation,"invalid syntax (<unknown>, line 114)"
qwen3.5-4b,0,69,AdaptiveCovarianceEvolutionStrategy,interface_mismatch,__call__ failed: bad operand type for unary -: 'list'
qwen3.5-4b,0,71,AdaptiveMomentumBasinHunter,runtime_error,AttributeError: 'AdaptiveMomentumBasinHunter' object has no attribute '_generate_initial_population'
qwen3.5-4b,0,72,AdaptiveLeyvSimulatedAnnealingRefined,runtime_error,UnboundLocalError: cannot access local variable 'step_size_l' where it is not associated with a value
qwen3.5-4b,0,73,HybridMemoryLeyvAdaptiveSearch,runtime_error,AttributeError: 'HybridMemoryLeyvAdaptiveSearch' object has no attribute 'div_dim'
qwen3.5-4b,0,75,MemoryEnhancedDiffEvo,code_generation,"unexpected character after line continuation character (<unknown>, line 177)"
qwen3.5-4b,0,76,SelfAdaptiveDifferentialEvolution,import_violation,scipy is currently not allowed to be imported in this framework.
qwen3.5-4b,0,77,AnisotropicMemoryLeyvSearch,code_generation,NameError: name 'AdaptiveLeyvSimulatedAnnealingRefined' is not defined
qwen3.5-4b,0,79,AdaptiveCovarianceLévySearch,code_generation,"expected an indented block after 'if' statement on line 220 (<unknown>, line 223)"
qwen3.5-4b,0,80,AdaptiveMemoryLeyvOptimizer,runtime_error,NameError: name 'dim' is not defined
qwen3.5-4b,0,81,AdaptiveHybridLeyvSearch,interface_mismatch,__call__ failed: 'NoneType' object does not support item assignment
qwen3.5-4b,0,82,AdaptiveVectorDifferentialSearch,runtime_error,AttributeError: 'ioh.iohcpp.problem.Discus' object has no attribute '__dict__'
qwen3.5-4b,0,83,CLALPSAlgorithm,code_generation,"closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 142)"
qwen3.5-4b,0,84,AdaptiveParticleSwarmOptimization,runtime_error,AttributeError: 'dict' object has no attribute 'index'
qwen3.5-4b,0,85,AdaptivePopulationSearch,runtime_error,"ValueError: operands could not be broadcast together with shapes (1,2,7) (2,) "
qwen3.5-4b,0,86,CovarianceAdaptiveLeyvSearch,runtime_error,ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qwen3.5-4b,0,87,MemoryEnhancedSwarmLeyvSearch,import_violation,typing is currently not allowed to be imported in this framework.
qwen3.5-4b,0,88,AdaptiveEnsembleLeyvSearch,import_violation,collections is currently not allowed to be imported in this framework.
qwen3.5-4b,0,90,AdaptiveDifferentialEvolution,interface_mismatch,__call__ failed: 'numpy.float64' object is not iterable
qwen3.5-4b,0,91,MemoryEnhancedAdaptiveLeyFlight,code_generation,"expected an indented block after 'else' statement on line 119 (<unknown>, line 122)"
qwen3.5-4b,0,92,PopulationBasedLeyvSearchWithEntropyGuidedCooling,runtime_error,NameError: name 'populations' is not defined
qwen3.5-4b,0,93,CovarianceAdaptedSearch,interface_mismatch,__call__ failed: only length-1 arrays can be converted to Python scalars
qwen3.5-4b,0,95,AdaptiveEnsembleLeyvSearch,code_generation,"closing parenthesis ')' does not match opening parenthesis '[' on line 67 (<unknown>, line 68)"
qwen3.5-4b,0,97,AdaptiveLeyvDiffSearchCurvatureAware,code_generation,"invalid syntax (<unknown>, line 57)"
qwen3.5-4b,0,98,SelfAdaptingPopulationBasedCoordinateSearch,runtime_error,AttributeError: 'SelfAdaptingPopulationBasedCoordinateSearch' object has no attribute 'T_end'
qwen3.5-4b,0,99,HybridAdaptiveLeyvSearch,code_generation,"unexpected indent (<unknown>, line 69)"
qwen3.5-4b,1,1,DifferentialEvolutionSearch,runtime_error,ValueError: too many values to unpack (expected 3)
qwen3.5-4b,1,2,AdaptiveSimulatedAnnealing,interface_mismatch,"__call__ failed: __call__(): incompatible function arguments. The following argument types are supported:
    1. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[float]) -> float
    2. (self: ioh.iohcpp.problem.RealSingleObjective, arg0: List[List[float]]) -> List[float]

Invoked with: <RealSingleObjectiveProblem 11. Discus (iid=1 dim=2)>, None"
qwen3.5-4b,1,4,DifferentialEvolution,runtime_error,timeout: exceeded 10s smoke-test budget
qwen3.5-4b,1,5,CMAES,runtime_error,NameError: name 'dim' is not defined
qwen3.5-4b,1,6,AdaptiveCovarianceSearch,runtime_error,"ValueError: Calling nonzero on 0d arrays is not allowed. Use np.atleast_1d(scalar).nonzero() instead. If the context of this error is of the form `arr[nonzero(cond)]`, just use `arr[cond]`."
qwen3.5-4b,1,7,CovarianceMatrixAdaptationEvolutionStrategy,runtime_error,AttributeError: 'CovarianceMatrixAdaptationEvolutionStrategy' object has no attribute 'mu_history'
qwen3.5-4b,1,8,AdaptiveCoordinateDescentMomentum,runtime_error,"ValueError: non-broadcastable output operand with shape (1,) doesn't match the broadcast shape (2,)"
qwen3.5-4b,1,10,DifferentialEvolution,import_violation,copy is currently not allowed to be imported in this framework.
qwen3.5-4b,1,11,PSO_Optimizer,runtime_error,AttributeError: 'numpy.random.mtrand.RandomState' object has no attribute 'random_scalar'
qwen3.5-4b,1,12,AdaptiveDifferentialEvolution,interface_mismatch,__call__ failed: 'float' object is not subscriptable
